gene	sample_1	sample_2	status	value_1	value_2	significant
AT1G01010	WT	hy5	NOTEST	0	1.49367	no
AT1G01020	WT	hy5	NOTEST	7.27837	10.7195	no
AT1G01030	WT	hy5	NOTEST	1.18638	1.10483	no
AT1G01040	WT	hy5	NOTEST	0.239843	2.24208	no
AT1G01046	WT	hy5	NOTEST	0	0	no
AT1G01050	WT	hy5	OK	9.06975	23.5089	yes
AT1G01060	WT	hy5	NOTEST	4.04534	6.46964	no
AT1G01070	WT	hy5	NOTEST	1.24918	2.41377	no
AT1G01073	WT	hy5	NOTEST	0	0	no
AT1G01080	WT	hy5	OK	13.8323	23.9128	no
AT1G01090	WT	hy5	OK	55.3618	33.6315	yes
AT1G01100	WT	hy5	OK	275.52	192.323	yes
AT1G01110	WT	hy5	NOTEST	0.822667	2.29349	no
AT1G01115	WT	hy5	NOTEST	0	0	no
AT1G01120	WT	hy5	OK	15.6414	7.70519	yes
AT1G01130	WT	hy5	NOTEST	0	0	no
AT1G01140	WT	hy5	NOTEST	3.1682	9.41155	no
AT1G01150	WT	hy5	NOTEST	0.489622	0	no
AT1G01160	WT	hy5	OK	5.63805	12.1478	no
AT1G01170	WT	hy5	OK	71.5683	21.235	yes
AT1G01180	WT	hy5	NOTEST	6.6353	0.552416	no
AT1G01183	WT	hy5	NOTEST	0	0	no
AT1G01190	WT	hy5	NOTEST	1.16692	0.711262	no
AT1G01200	WT	hy5	NOTEST	1.83839	1.43319	no
AT1G01210	WT	hy5	OK	26.261	6.50638	no
AT1G01220	WT	hy5	NOTEST	0.82409	1.6897	no
AT1G01225	WT	hy5	LOWDATA	2.41103	1.48062	no
AT1G01230	WT	hy5	LOWDATA	11.4476	7.04246	no
AT1G01240	WT	hy5	NOTEST	6.18406	3.83104	no
AT1G01250	WT	hy5	NOTEST	2.24331	3.2788	no
AT1G01260	WT	hy5	NOTEST	0.972256	1.24948	no
AT1G01270	WT	hy5	NOTEST	0	0	no
AT1G01280	WT	hy5	NOTEST	0	0	no
AT1G01290	WT	hy5	NOTEST	0.586369	2.51547	no
AT1G01300	WT	hy5	OK	19.1301	11.1827	no
AT1G01305	WT	hy5	NOTEST	0	0	no
AT1G01310	WT	hy5	NOTEST	0	0	no
AT1G01320	WT	hy5	OK	4.94764	20.8172	yes
AT1G01340	WT	hy5	NOTEST	0.434757	1.63583	no
AT1G01350	WT	hy5	NOTEST	1.86435	1.90872	no
AT1G01355	WT	hy5	NOTEST	0	0	no
AT1G01360	WT	hy5	NOTEST	2.62591	5.46196	no
AT1G01370	WT	hy5	NOTEST	0	4.60995	no
AT1G01380	WT	hy5	NOTEST	1.32021	0	no
AT1G01390	WT	hy5	NOTEST	0.658158	0.36221	no
AT1G01400	WT	hy5	NOTEST	0	0	no
AT1G01410	WT	hy5	NOTEST	0	0	no
AT1G01420	WT	hy5	NOTEST	3.50513	2.18701	no
AT1G01430	WT	hy5	OK	19.7868	10.301	yes
AT1G01440	WT	hy5	NOTEST	1.73992	2.28176	no
AT1G01448	WT	hy5	NOTEST	0	1.19696	no
AT1G01450	WT	hy5	NOTEST	0.394538	1.90623	no
AT1G01453	WT	hy5	NOTEST	1.01082	0	no
AT1G01460	WT	hy5	NOTEST	0	0	no
AT1G01470	WT	hy5	OK	30.8953	25.9128	no
AT1G01471	WT	hy5	NOTEST	0	0	no
AT1G01480	WT	hy5	NOTEST	0	0.845054	no
AT1G01490	WT	hy5	OK	14.6554	22.9009	no
AT1G01500	WT	hy5	NOTEST	2.89796	2.25437	no
AT1G01510	WT	hy5	NOTEST	2.96407	3.92721	no
AT1G01520	WT	hy5	NOTEST	0	4.46011	no
AT1G01530	WT	hy5	NOTEST	0	0	no
AT1G01540	WT	hy5	OK	14.0013	13.2061	no
AT1G01550	WT	hy5	OK	31.964	19.9552	no
AT1G01560	WT	hy5	NOTEST	0	0	no
AT1G01570	WT	hy5	NOTEST	0.399539	0	no
AT1G01580	WT	hy5	NOTEST	1.65205	0.357878	no
AT1G01590	WT	hy5	NOTEST	0	0	no
AT1G01600	WT	hy5	NOTEST	1.89022	0.195791	no
AT1G01610	WT	hy5	OK	14.4058	5.2457	yes
AT1G01620	WT	hy5	OK	178.441	80.266	yes
AT1G01630	WT	hy5	NOTEST	3.18499	9.21824	no
AT1G01640	WT	hy5	NOTEST	1.40385	4.47331	no
AT1G01650	WT	hy5	NOTEST	3.28417	5.61132	no
AT1G01660	WT	hy5	NOTEST	0.979029	1.36257	no
AT1G01670	WT	hy5	NOTEST	0	0	no
AT1G01680	WT	hy5	NOTEST	0	1.56789	no
AT1G01690	WT	hy5	NOTEST	0.320617	1.02366	no
AT1G01695	WT	hy5	NOTEST	0	0	no
AT1G01700	WT	hy5	NOTEST	0	0	no
AT1G01710	WT	hy5	NOTEST	1.388	1.85657	no
AT1G01720	WT	hy5	OK	15.2646	8.01372	no
AT1G01725	WT	hy5	NOTEST	3.40868	4.74246	no
AT1G01730	WT	hy5	NOTEST	5.19105	8.58381	no
AT1G01740	WT	hy5	NOTEST	0	1.61339	no
AT1G01750	WT	hy5	NOTEST	9.31258	2.93392	no
AT1G01760	WT	hy5	NOTEST	0.737486	0.969355	no
AT1G01770	WT	hy5	LOWDATA	0.383839	2.16113e-05	no
AT1G01780	WT	hy5	NOTEST	3.98163	4.32625	no
AT1G01790	WT	hy5	NOTEST	2.69434	13.4417	no
AT1G01800	WT	hy5	OK	12.2548	18.0488	no
AT1G01810	WT	hy5	NOTEST	0	0	no
AT1G01820	WT	hy5	OK	16.1636	19.2965	no
AT1G01830	WT	hy5	NOTEST	1.33029	3.08616	no
AT1G01840	WT	hy5	NOTEST	3.37004	0.660401	no
AT1G01860	WT	hy5	NOTEST	2.10154	1.5204	no
AT1G01870	WT	hy5	NOTEST	0	0	no
AT1G01880	WT	hy5	NOTEST	0	0	no
AT1G01890	WT	hy5	NOTEST	0	0	no
AT1G01900	WT	hy5	NOTEST	2.0489	0	no
AT1G01910	WT	hy5	OK	16.6908	9.16954	no
AT1G01920	WT	hy5	NOTEST	0.286738	2.97146	no
AT1G01930	WT	hy5	NOTEST	0.265815	1.88575	no
AT1G01940	WT	hy5	NOTEST	3.19718	6.31616	no
AT1G01950	WT	hy5	NOTEST	0.889339	1.5597	no
AT1G01960	WT	hy5	NOTEST	3.29259	3.67214	no
AT1G01970	WT	hy5	NOTEST	7.62674	8.88463	no
AT1G01980	WT	hy5	NOTEST	0	0	no
AT1G01990	WT	hy5	NOTEST	6.08468	10.112	no
AT1G02000	WT	hy5	NOTEST	5.21581	2.76986	no
AT1G02010	WT	hy5	NOTEST	0.830468	0	no
