ensembl_transcript_id	ensembl_gene_id	chromosome_name	transcript_start	transcript_end	external_gene_id	percentage_gc_content	gene_biotype	source	name_1006	cds_length
ENST00000373020	ENSG00000000003	X	99883667	99891803	TSPAN6	40.87	protein_coding	ensembl	integral to membrane	738
ENST00000373031	ENSG00000000005	X	99839799	99854882	TNMD	40.8	protein_coding	ensembl	integral to membrane	954
ENST00000367770	ENSG00000000457	1	169822215	169858029	SCYL3	40.34	protein_coding	ensembl	ATP binding	2229
ENST00000286031	ENSG00000000460	1	169764550	169823221	C1orf112	39.22	protein_coding	ensembl		2562
ENST00000374003	ENSG00000000938	1	27939180	27953080	FGR	52.97	protein_coding	ensembl	positive regulation of mast cell degranulation	1590
ENST00000367429	ENSG00000000971	1	196621008	196716634	CFH	35.2	protein_coding	ensembl	complement activation, alternative pathway	3696
ENST00000002165	ENSG00000001036	6	143816614	143832827	FUCA2	39.9	protein_coding	ensembl	carbohydrate metabolic process	1404
ENST00000229416	ENSG00000001084	6	53362139	53409927	GCLC	40.16	protein_coding	ensembl	regulation of mitochondrial depolarization	1914
ENST00000341376	ENSG00000001167	6	41040684	41067715	NFYA	40	protein_coding	ensembl	protein binding	1044
ENST00000337248	ENSG00000001460	1	24683527	24740230	STPG1	44.09	protein_coding	ensembl	cytoplasm	1005
ENST00000374399	ENSG00000001461	1	24742284	24795797	NIPAL3	45	protein_coding	ensembl	magnesium ion transport	1221
ENST00000374811	ENSG00000001497	X	64732462	64754636	LAS1L	50.45	protein_coding	ensembl	MLL1 complex	2205
ENST00000321037	ENSG00000001561	6	46097730	46114436	ENPP4	36.06	protein_coding	ensembl	metabolic process	1362
ENST00000002829	ENSG00000001617	3	50192562	50226508	SEMA3F	57.74	protein_coding	ensembl	membrane	2358
ENST00000003084	ENSG00000001626	7	117120017	117308715	CFTR	36.59	protein_coding	ensembl	iodide transport	4443
ENST00000265742	ENSG00000001629	7	91875548	92030698	ANKIB1	36.77	protein_coding	ensembl	protein binding	3270
ENST00000003100	ENSG00000001630	7	91741465	91763844	CYP51A1	39.91	protein_coding	ensembl	oxidation-reduction process	1530
ENST00000340022	ENSG00000001631	7	91828727	91875414	KRIT1	36.48	protein_coding	ensembl	phosphatidylinositol-4,5-bisphosphate binding	2211
ENST00000358495	ENSG00000002016	12	1021243	1058888	RAD52	45.38	protein_coding	ensembl	DNA repair	1257
ENST00000309032	ENSG00000002330	11	64037306	64052141	BAD	53.92	protein_coding	ensembl	cellular response to nicotine	507
ENST00000226299	ENSG00000002549	4	17578815	17609591	LAP3	44.17	protein_coding	ensembl	metalloexopeptidase activity	1560
ENST00000449611	ENSG00000002586	X	2609541	2644414	CD99	47.39	protein_coding	ensembl		604
ENST00000002596	ENSG00000002587	4	11394774	11431389	HS3ST1	43.92	protein_coding	ensembl	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity	924
ENST00000416793	ENSG00000002726	7	150549603	150558377	ABP1	47.8	protein_coding	ensembl	amine metabolic process	2313
ENST00000222462	ENSG00000002745	7	120969057	120981158	WNT16	38.61	protein_coding	ensembl	frizzled binding	1098
ENST00000395891	ENSG00000002746	7	43152198	43602938	HECW1	42.07	protein_coding	ensembl	protein binding	4821
ENST00000265854	ENSG00000002822	7	1855447	2272580	MAD1L1	55.65	protein_coding	ensembl	M phase of mitotic cell cycle	2157
ENST00000318008	ENSG00000002834	17	37026112	37078023	LASP1	53.69	protein_coding	ensembl	ion transmembrane transport	786
ENST00000004103	ENSG00000002933	7	150497631	150502208	TMEM176A	57.57	protein_coding	ensembl	integral to membrane	708
ENST00000000412	ENSG00000003056	12	9092961	9102551	M6PR	42.71	protein_coding	ensembl	transmembrane signaling receptor activity	834
ENST00000539496	ENSG00000003096	X	117031777	117119243	KLHL13	36.56	protein_coding	ensembl	cytokinesis	1977
ENST00000001146	ENSG00000003137	2	72356367	72375167	CYP26B1	59.96	protein_coding	ensembl	spermatogenesis	1539
ENST00000265577	ENSG00000003147	7	8152885	8301836	ICA1	40.3	protein_coding	ensembl	nucleus	1449
ENST00000568838	ENSG00000003249	16	90072597	90086536	DBNDD1	59.39	protein_coding	ensembl	cytoplasm	837
ENST00000264276	ENSG00000003393	2	202565277	202645912	ALS2	38.06	protein_coding	ensembl	synaptic transmission, glutamatergic	4974
ENST00000286186	ENSG00000003400	2	202047604	202086388	CASP10	42.31	protein_coding	ensembl	innate immune response	1569
ENST00000309955	ENSG00000003402	2	201980827	202029033	CFLAR	44.68	protein_coding	ensembl	skeletal muscle atrophy	1443
ENST00000233156	ENSG00000003436	2	188328960	188419219	TFPI	36.6	protein_coding	ensembl	negative regulation of endopeptidase activity	915
ENST00000002125	ENSG00000003509	2	37458809	37476303	NDUFAF7	38.97	protein_coding	ensembl	mitochondrial respiratory chain complex I assembly	1326
ENST00000347869	ENSG00000003756	3	50126341	50156454	RBM5	44.45	protein_coding	ensembl	nucleic acid binding	2448
ENST00000180173	ENSG00000003987	8	17155539	17270836	MTMR7	40.36	protein_coding	ensembl	protein binding	1983
ENST00000004531	ENSG00000003989	8	17396286	17428070	SLC7A2	40.13	protein_coding	ensembl	nitric oxide biosynthetic process	2097
ENST00000000233	ENSG00000004059	7	127228399	127231759	ARF5	56.5	protein_coding	ensembl	GTP catabolic process	543
ENST00000457710	ENSG00000004139	17	26698683	26728065	SARM1	51.82	protein_coding	ensembl	regulation of dendrite morphogenesis	2073
ENST00000324093	ENSG00000004399	3	129274018	129325661	PLXND1	58.39	protein_coding	ensembl	angiogenesis	5778
ENST00000354858	ENSG00000004455	1	33478645	33502593	AK2	46.32	protein_coding	ensembl	oxidative phosphorylation	720
ENST00000226279	ENSG00000004468	4	15779901	15851069	CD38	41.06	protein_coding	ensembl	B cell receptor signaling pathway	903
ENST00000001008	ENSG00000004478	12	2904119	2913124	FKBP4	51.61	protein_coding	ensembl	perinuclear region of cytoplasm	1380
ENST00000400181	ENSG00000004487	1	23345986	23410181	KDM1A	39.16	protein_coding	ensembl	granulocyte differentiation	2631
ENST00000266022	ENSG00000004534	3	49977466	50114683	RBM6	44.14	protein_coding	ensembl	DNA binding	3372
ENST00000158166	ENSG00000004660	17	3768451	3796338	CAMKK1	57.17	protein_coding	ensembl	protein phosphorylation	1563
ENST00000421138	ENSG00000004700	12	21622736	21654485	RECQL	37.57	protein_coding	ensembl	helicase activity	1950
ENST00000305866	ENSG00000004766	7	92861653	92988338	CCDC132	34.84	protein_coding	ensembl		2895
ENST00000004982	ENSG00000004776	19	36245470	36247930	HSPB6	62.56	protein_coding	ensembl	response to stress	483
ENST00000007510	ENSG00000004777	19	36266417	36279724	ARHGAP33	60.93	protein_coding	ensembl	signal transduction	3864
ENST00000007516	ENSG00000004779	16	23592323	23607677	NDUFAB1	48.8	protein_coding	ensembl	respiratory electron transport chain	471
ENST00000005178	ENSG00000004799	7	95212811	95225803	PDK4	36.07	protein_coding	ensembl	regulation of fatty acid biosynthetic process	1236
ENST00000368919	ENSG00000004809	6	110745890	110797844	SLC22A16	41.32	protein_coding	ensembl	transmembrane transporter activity	1734
ENST00000231749	ENSG00000004838	3	50378541	50384283	ZMYND10	57.81	protein_coding	ensembl	zinc ion binding	1323
ENST00000258738	ENSG00000004846	7	20687045	20795247	ABCB5	37.73	protein_coding	ensembl	transmembrane transport	2439
ENST00000379044	ENSG00000004848	X	25021811	25034065	ARX	54.42	protein_coding	ensembl	olfactory bulb development	1689
ENST00000416240	ENSG00000004864	7	95749533	95951459	SLC25A13	39.76	protein_coding	ensembl	malate-aspartate shuttle	2031
ENST00000265437	ENSG00000004866	7	116593381	116863961	ST7	39.15	protein_coding	ensembl	integral to membrane	1758
ENST00000531206	ENSG00000004897	17	45197621	45266542	CDC27	38.66	protein_coding	ensembl	anaphase-promoting complex	2493
ENST00000262418	ENSG00000004939	17	42325753	42345509	SLC4A1	55.8	protein_coding	ensembl	anion transport	2736
ENST00000359558	ENSG00000004948	7	93053799	93204042	CALCR	35.2	protein_coding	ensembl	neuronal cell body	1527
ENST00000321143	ENSG00000004961	X	11129421	11141198	HCCS	42.99	protein_coding	ensembl	organ morphogenesis	807
ENST00000005340	ENSG00000004975	17	7128660	7137864	DVL2	55.14	protein_coding	ensembl	non-canonical Wnt receptor signaling pathway	2211
ENST00000161006	ENSG00000005001	16	2902728	2908171	PRSS22	59.35	protein_coding	ensembl	proteolysis	954
ENST00000599848	ENSG00000005007	19	18942810	18979038	UPF1	55.15	protein_coding	ensembl	cytosol	3390
